taxonId,scientificName,taxonRank,vernacularName,preferred,source
4299804,Lethe anthedon,species,Northern Pearly-eye,t,iNaturalist taxa API
5714371,Nymphalis l-album,species,Compton Tortoiseshell,t,iNaturalist taxa API
4300000,Celastrina lucia,species,Lucia Azure,t,iNaturalist taxa API
1918383,Lethe appalachia,species,Appalachian Brown,t,iNaturalist taxa API
5714436,Boloria selene myrina,subspecies,Myrina Fritillary,t,iNaturalist taxa API
4299714,Coenonympha tullia inornata,subspecies,Inornate Ringlet,t,iNaturalist taxa API
1914439,Chlosyne harrisii,species,Harris's Checkerspot,t,iNaturalist taxa API
5714729,Cupido comyntas,species,Eastern Tailed-Blue,t,iNaturalist taxa API
1894896,Aglais milberti,species,Milbert's Tortoiseshell,t,iNaturalist taxa API
4299689,Cercyonis pegala nephele,subspecies,Dull-eyed Grayling,t,iNaturalist taxa API
1905301,Speyeria aphrodite,species,Aphrodite Fritillary,t,iNaturalist taxa API
1918971,Phyciodes cocyta,species,Northern Crescent,t,iNaturalist taxa API
5715058,Hesperia comma laurentina,subspecies,Laurentian Skipper,t,iNaturalist taxa API
4300012,Celastrina serotina,species,Cherry Gall Azure,t,iNaturalist taxa API
1937846,Papilio cresphontes,species,Eastern Giant Swallowtail,t,iNaturalist taxa API
4299896,Papilio polyxenes asterius,subspecies,Eastern Black Swallowtail,t,iNaturalist taxa API
1932378,Callophrys,genus,Green Hairstreaks,t,iNaturalist taxa API
1918395,Lethe eurydice,species,Eyed Brown,t,iNaturalist taxa API
4299764,Megisto cymela,species,Little Wood Satyr,t,iNaturalist taxa API
4300004,Celastrina neglecta,species,Summer Azure,t,iNaturalist taxa API
1924767,Feniseca,genus,North American Harvesters,t,iNaturalist taxa API
1901885,Junonia,genus,Buckeyes & Pansies,t,iNaturalist taxa API
1898474,Polygonia,genus,Commas,t,iNaturalist taxa API
1949704,Pyrgus,genus,Grizzled Skippers,t,iNaturalist taxa API
1905150,Speyeria,genus,Greater Fritillaries,t,iNaturalist taxa API
5714615,Lycaena phlaeas hypophlaeas,subspecies,Eastern American Copper,t,iNaturalist taxa API
5714368,Vanessa atalanta rubria,subspecies,American Red Admiral,t,iNaturalist taxa API
7215087,Erynnis brizo brizo,subspecies,Eastern Sleepy Duskywing,t,iNaturalist taxa API
5133087,Danaus,genus,Tiger Milkweed Butterflies,t,iNaturalist taxa API
7259537,Callophrys gryneus gryneus,subspecies,Olive Hairstreak,t,iNaturalist taxa API
5142228,Hesperia,genus,Branded Skippers,t,iNaturalist taxa API
1950380,Wallengrenia,genus,Broken-Dashes,t,iNaturalist taxa API
3231212,Erynnis,genus,Duskywings,t,iNaturalist taxa API
4301695,Euphyes vestris metacomet,subspecies,Eastern Dun Skipper,t,iNaturalist taxa API
4300156,Glaucopsyche lygdamus couperi,subspecies,Couper's Blue,t,iNaturalist taxa API
4302004,Carterocephalus palaemon mandan,subspecies,Mandan Arctic Skipper,t,iNaturalist taxa API
4301457,Poanes viator zizaniae,subspecies,Southern Broad-winged Skipper,t,iNaturalist taxa API
10175914,Papilio,genus,Common Swallowtails,t,iNaturalist taxa API
1933999,Riodinidae,family,Metalmark Butterflies,t,iNaturalist taxa API
5481,Pieridae,family,"Whites, Yellows, and Sulphurs",t,iNaturalist taxa API
1895260,Oeneis,genus,Arctics,t,iNaturalist taxa API
4299712,Coenonympha tullia ochracea,subspecies,Ochre Ringlet,t,iNaturalist taxa API
9417,Papilionidae,family,Swallowtails and Parnassians,t,iNaturalist taxa API
1918309,Lethe,genus,Pearly-eyes and Allies,t,iNaturalist taxa API
7786896,Colias,genus,Clouded Yellows,t,iNaturalist taxa API
1927718,Satyrium,genus,Satyrid Hairstreaks,t,iNaturalist taxa API
1927718,Satyrium,genus,Satyres,t,iNaturalist taxa API
1914398,Chlosyne,genus,Patches and Allies,t,iNaturalist taxa API
1898397,Libytheana,genus,New World Snouts,t,iNaturalist taxa API
1918940,Phyciodes,genus,Crescents,t,iNaturalist taxa API
7236092,Pieris,genus,Garden Whites,t,iNaturalist taxa API
1898410,Asterocampa,genus,Hackberry Butterflies,t,iNaturalist taxa API
1925423,Strymon,genus,Scrub-Hairstreaks,t,iNaturalist taxa API
5130576,Nymphalis,genus,Tortoiseshells,t,iNaturalist taxa API
1898261,Vanessa,genus,Ladies and Related Admirals,t,iNaturalist taxa API
1925804,Celastrina,genus,Holarctic Azures,t,iNaturalist taxa API
1929153,Lycaena,genus,Copper Butterflies,t,iNaturalist taxa API
4299796,Lethe appalachia leeuwi,subspecies,Leeuw's Appalachian Brown,t,iNaturalist taxa API
5714768,Satyrium calanus falacer,subspecies,Eastern Banded Hairstreak,t,iNaturalist taxa API
4300000,Celastrina lucia,species,Northern Spring Azure,t,Species List for the State of Vermont
1918383,Lethe appalachia,species,Appalachian Eyed Brown,t,Species List for the State of Vermont
1943964,Polites mystic,species,Long Dash Skipper,t,Species List for the State of Vermont
5129405,Polygonia gracilis,species,Hoary Comma,,Integrated Taxonomic Information System (ITIS)
1911378,Coenonympha inornata,species,inornate ringlet,,Integrated Taxonomic Information System (ITIS)
5140214,Polyommatus icarus,species,Common Blue,,National checklists and red lists for European butterflies
5140214,Polyommatus icarus,species,Mother-of-Pearl Blue,t,"Propuesta actualizada de nombres comunes en castellano para las mariposas de la península ibérica, Baleares, Ceuta, Melilla y Canarias (Lepidoptera: Papilionoidea)"
5140214,Polyommatus icarus,species,Common Blue Butterfly,f,United Kingdom Species Inventory (UKSI)
4300241,Everes comyntas,species,Eastern Tailed-Blue,,Integrated Taxonomic Information System (ITIS)
5138387,Plebejus saepiolus,species,Greenish Blue,,Integrated Taxonomic Information System (ITIS)
5714690,Plebejus idas,species,Idas Blue,,National checklists and red lists for European butterflies
5714690,Plebejus idas,species,Northern Blue,t,Dyntaxa. Svensk taxonomisk databas
4299917,Eurytides marcellus,species,Zebra Swallowtail,,Integrated Taxonomic Information System (ITIS)
1939134,Protographium marcellus,species,Zebra Swallowtail,,Catalogue of Life Checklist
4300247,Everes amyntula,species,Western Tailed-Blue,,Integrated Taxonomic Information System (ITIS)
1943655,Megathymus yuccae,species,Yucca Giant-Skipper,,Integrated Taxonomic Information System (ITIS)
1931116,Parrhasius m-album,species,White M Hairstreak,,Integrated Taxonomic Information System (ITIS)
1950133,Lerema accius,species,Clouded Skipper,t,iNaturalist taxa API
1919653,Phoebis sennae,species,Cloudless Sulphur,t,iNaturalist taxa API
5714326,Limenitis arthemis rubrofasciata,subspecies,Western White Admiral,t,iNaturalist taxa API
4301789,Amblyscirtes alternata,species,Dusky Roadside-Skipper,t,iNaturalist taxa API
4535827,Aglais io,species,European Peacock Butterfly,t,iNaturalist taxa API
4299455,Speyeria cybele krautwurmi,subspecies,Krautwurm's Fritillary,t,iNaturalist taxa API
5714733,Cupido amyntula,species,Western Tailed-Blue,t,iNaturalist taxa API
1918959,Phyciodes pulchella,species,Field Crescent,t,iNaturalist taxa API
4301691,Euphyes vestris vestris,subspecies,Western Dun Skipper,t,iNaturalist taxa API
1911246,Coenonympha california,species,Common Ringlet,t,iNaturalist taxa API
4301622,Polites themistocles themistocles,subspecies,Eastern Tawny-edged Skipper,t,iNaturalist taxa API
